CustomerID,Recency,Frequency,Monetary
13026,1,40,975.36
13027,114,26,6912
13028,23,45,661.32
13029,31,10,1247.5
13030,11,92,752.44
13032,52,71,1010.18
13033,357,11,190.55
13034,55,37,642.77
13035,74,27,921.88
13037,138,48,881.07
13038,80,28,908.46
13040,9,43,676.99
13043,273,13,516.42
13044,291,33,560.47
13045,99,18,305.28
13046,31,35,629.31
13047,32,172,3237.54
13048,14,135,1819.41
13049,64,14,656.68
13050,15,403,5836.86
13052,212,18,348.15
13055,78,76,1214.41
13058,25,8,271.4
13059,250,8,183.4
13060,254,15,307.53
13061,72,10,248.61
13062,191,11,346.98
13064,13,68,1105.59
13065,373,14,205.86
13066,24,48,470.8
13067,82,15,115.46
13068,10,2,344
13069,1,424,4431.44
13070,192,9,228.8
13072,267,7,177.15
13075,130,22,919.61
13077,1,111,728.02
13078,3,358,12627.94
13079,4,6,220.1
13080,179,6,58.08
13081,12,1028,28337.38
13082,126,73,3613.63
13083,4,18,303.75
13085,158,22,416.08
13089,3,1814,58762.08
13090,9,155,8910.82
13091,28,21,345.82
13092,71,25,477.83
13093,276,159,7832.47
13094,21,24,1927.32
13095,71,6,74.4
13097,33,421,6003.22
13098,1,572,28882.44
13099,99,1,207.36
13101,234,8,101.19
13102,1,304,6424.09
13103,40,8,243.94
13104,3,20,1098.48
13106,133,1,76.5
13107,44,58,1531.62
13108,373,10,350.06
13109,60,47,786.54
13110,31,145,1488.67
13113,1,201,12245.96
13115,12,120,2294.78
13116,138,30,501.14
13117,22,76,984.91
13118,20,79,1197.81
13120,239,1,30.6
13121,269,50,283.73
13122,94,55,922.39
13124,90,222,3756.33
13126,5,140,2099.64
13127,78,15,259.17
13130,94,2,64
13131,23,44,1073.3
13132,262,3,77.3
13133,274,7,109.8
13134,86,98,1793.58
13135,197,1,3096
13136,56,127,2607.61
13137,11,687,3603.29
13138,22,63,962.39
13139,16,170,5064.94
13140,108,45,422.47
13141,85,135,2388.75
13142,19,23,307.09
13144,333,3,110.95
13145,40,6,618.52
13146,26,17,228.91
13147,10,4,712.8
13148,29,312,3683.26
13149,14,86,1676.06
13151,296,74,1257.87
13153,6,15,486.22
13155,33,85,971.76
13157,49,87,1741.22
13158,95,79,1201.06
13159,9,120,1429.35
13160,22,4,91.8
13161,313,8,112.75
13162,122,79,1688.29
13165,46,42,1021.48
13166,283,41,417.2
13167,19,65,791.33
13168,36,126,1299.59
13169,64,13,712.88
13170,27,30,108.81
13171,22,46,468.41
13173,4,43,353.65
13174,16,293,2742.82
13176,46,67,481.49
13177,65,17,282.45
13178,26,265,5725.47
13182,45,11,121.18
13183,8,94,3957.78
13184,15,179,1668.95
13185,268,1,71.4
13186,40,79,1575.89
13187,337,37,236.02
13188,11,2,114.6
13189,19,29,260.68
13192,95,63,911.94
13193,61,25,112.08
13194,136,3,60.7
13196,11,110,1797.78
13198,10,226,3401.24
13199,4,119,9817.12
13200,19,46,870.09
13203,10,57,869.46
13207,15,8,250.26
13208,59,148,1217.65
13209,30,321,5891.61
13210,94,22,353.48
13211,10,55,1095.42
13212,20,141,786.83
13213,57,90,1520.58
13216,268,5,333.74
13217,122,4,533.98
13218,127,5,62.64
13220,78,21,819.29
13221,240,66,847.41
13223,200,5,163.2
13224,60,108,2155.95
13225,3,32,6463.84
13226,273,16,108.21
13227,202,9,257.7
13228,81,2,358
13229,226,10,160.95
13230,4,587,2755.63
13232,13,202,1328.35
13233,74,43,605.12
13235,212,58,1031.07
13236,25,36,744.85
13238,17,31,700.73
13239,262,22,329.56
13240,96,67,663.65
13242,112,13,270.4
13243,203,57,585.12
13244,93,27,121.74
13245,51,16,430.5
13246,18,136,1961.52
13247,18,25,501.12
13248,125,26,465.68
13249,92,23,711.41
13253,157,36,1030.4
13255,9,13,399.51
13256,14,1,0
13258,12,36,672.83
13259,62,81,283.18
13260,61,8,557.62
13261,269,9,944.1
13262,263,11,200.29
13263,1,1667,7436.93
13265,53,90,2092.66
13266,11,187,3834.26
13267,3,211,4521.49
13268,18,433,3174.75
13269,1,315,5343.28
13270,366,1,590
13271,37,87,211.49
13272,31,15,276.56
13273,113,16,138.98
13276,64,30,590.93
13277,16,8,258.4
13278,41,46,542.73
13279,78,9,137.75
13280,122,82,798.46
13282,18,37,1132.14
13283,60,7,93.66
13284,331,13,201.19
13285,23,187,2709.12
13291,156,42,361.11
13292,39,31,578.94
13294,190,54,873.74
13295,360,10,201.2
13296,137,5,87.4
13297,8,59,2089.85
13298,1,2,360
13299,268,5,142.5
13300,169,20,371.89
13301,104,81,618.09
13302,155,1,63.75
13304,351,21,300.42
13305,4,81,2000.86
13307,120,1,15
13308,23,54,1385.51
13309,7,107,1456.79
13310,28,72,1132.03
13311,4,26,598.57
13313,22,78,1555.32
13314,2,62,775.94
13316,37,86,5732.93
13317,66,124,2273.68
13318,1,20,640.76
13319,5,476,10845.55
13320,78,105,1532.2
13321,72,11,567.36
13322,17,25,199.48
13323,3,21,787.85
13324,36,75,7121.95
13325,82,12,675.3
13327,39,108,3627.77
13328,316,17,1308.48
13329,32,17,789
13330,93,53,1140.93
13332,14,21,350.9
13334,82,265,3502.32
13336,77,51,795.12
13338,158,19,487.02
13339,201,54,860.12
13340,45,134,10736.48
13341,261,42,775.85
13343,178,19,353.43
13344,68,116,2511.69
13345,288,20,389.5
13347,70,8,341.36
13348,64,14,233.76
13349,11,16,247.32
13350,16,40,979.12
13351,66,16,373.94
13352,60,24,397.98
13354,71,51,743.53
13355,122,32,674.7
13356,80,42,768.24
13357,257,89,609.4
13358,269,29,439.03
13359,64,23,439.56
13362,9,166,3090.74
13363,18,60,992.5
13364,71,10,134.96
13365,34,128,2225.37
13366,50,1,56.16
13368,257,29,623.4
13369,366,14,308.28
13370,372,39,754.87
13372,90,23,378.64
13373,61,158,3312.25
13375,89,37,778.65
13376,99,53,1019.76
13379,26,97,572.56
13381,32,172,3639.31
13382,281,15,222.99
13384,31,152,4151.93
13385,330,35,534.57
13388,131,35,677.1
13389,11,51,797.96
13390,75,13,544.08
13391,204,1,59.8
13394,2,155,2520.02
13395,185,21,307.72
13396,29,43,1360.99
13397,73,38,1544.13
13398,192,26,457.34
13402,127,39,621.23
13403,18,3,75
13404,1,11,252.49
13405,74,27,572.451
13408,2,478,28117.04
13410,24,28,1003.06
13411,107,18,213.55
13414,134,24,1390.5
13416,44,19,712.5
13417,5,28,640.83
13418,12,304,6127.43
13419,64,16,221.06
13420,150,8,159.85
13421,40,102,1833.71
13422,64,127,2626.3
13425,108,78,1624.21
13426,1,157,3641.32
13427,19,29,582.6
13428,10,71,201.78
13429,11,67,1006.8
13430,19,49,679.45
13431,67,46,1269.1
13434,74,10,534.24
13435,5,101,3809.89
13436,2,12,196.89
13437,14,167,3408.06
13439,255,54,283.71
13441,92,13,296.64
13447,23,59,1129.14
13448,17,194,3534.69
13449,24,19,291.88
13450,27,71,2043.72
13451,26,433,2898.26
13452,259,2,590
13453,166,17,356.98
13455,25,46,1058.34
13456,18,63,1766.72
13458,7,382,9646.57
13460,29,17,183.44
13461,39,27,1445
13462,253,9,151.5
13464,58,41,674.68
13466,184,17,307.9
13467,11,98,1071.91
13468,2,302,5704.97
13470,99,10,165
13471,1,254,2501.84
13473,61,21,422.64
13474,236,62,226.84
13475,191,86,1431.78
13476,179,58,1238.47
13477,38,79,1454.58
13479,201,15,300.95
13481,46,109,1804.56
13482,232,11,184.64
13483,66,10,140.34
13484,241,8,313.8
13485,233,23,454.24
13486,78,69,1122.41
13487,58,34,575.4
13488,17,422,8968.31
13489,105,14,449.52
13491,52,86,1215.82
13492,136,50,1269.84
13493,275,8,618.63
13494,312,18,316.26
13495,8,48,2044.87
13496,11,35,653.33
13497,283,19,348.05
13499,18,42,1159.11
13500,23,65,1166.77
13501,288,52,1340.32
13502,17,18,292
13503,71,17,216.85
13504,64,22,295.93
13505,73,215,4393.63
13506,316,26,458.52
13507,3,162,2479.16
13508,244,12,110.97
13509,9,44,979.72
13510,1,115,1791.56
13512,261,15,251.21
13513,127,10,205.1
13514,74,4,152.2
13515,73,59,891.12
13516,21,44,1389.41
13517,60,141,2128.42
13518,86,36,627.16
13519,78,8,122.75
13520,59,93,3624.35
13521,1,418,1071.73
13522,30,5,125.8
13523,33,172,3964.88
13524,41,27,680.18
13525,15,6,628.78
13527,34,217,2242.36
13529,79,15,307.76
13531,205,22,483.8
13532,34,66,210.31
13533,183,75,269.09
13534,2,296,5870.08
13536,1,178,3444.39
13538,43,25,1280.85
13539,86,37,631.34
13544,40,78,276.06
13546,12,97,621.09
13548,96,123,678.16
13549,26,51,918.2
13551,319,4,91.8
13552,66,109,3740.07
13555,74,135,4098.88
13557,28,34,584.06
13558,6,169,594.52
13560,7,32,171.42
13561,216,14,141.86
13562,82,82,1799.33
13563,84,49,777.53
13564,144,81,1724.67
13565,19,38,240.22
13566,41,169,856.84
13568,173,43,187.05
13569,17,79,338.62
13570,243,27,239.49
13571,13,340,2088.94
13572,206,33,1384.25
13573,50,25,290.25
13575,23,46,732.07
13576,10,126,6717.34
13577,25,83,1687.6
13579,15,23,467.04
13581,309,10,118
13583,156,53,781.03
13584,307,24,142.4
13587,64,8,712.4
13588,16,174,2478.95
13589,15,21,379.65
13590,11,87,1981.92
13591,65,58,1117.13
13592,36,16,247.96
13593,108,127,2011.88
13594,53,26,396.97
13596,6,146,664.11
13598,47,35,160.04
13599,1,246,5149.92
13600,312,19,219.52
13601,45,99,693.32
13602,65,23,428.89
13603,26,27,164.34
13606,29,40,276.75
13607,40,97,675.51
13610,12,215,1082.33
13611,89,72,1154.4
13614,24,195,1585.46
13615,319,23,417.69
13617,40,44,544.18
13618,174,13,177.34
13621,117,19,213.85
13623,31,78,727.74
13626,253,19,257.23
13627,59,92,1638.47
13629,23,59,7792.36
13630,5,71,2031.78
13631,100,11,3070.42
13632,25,145,2118.93
13634,33,186,1547.36
13635,68,62,1071.03
13636,37,63,949.12
13637,52,99,804.3
13638,16,8,122.64
13639,74,40,1033.34
13642,216,57,312.28
13643,31,28,519.44
13644,16,146,2624.26
13645,120,5,252.1
13647,10,78,1648.12
13649,257,23,346.6
13650,17,96,1836.34
13651,35,6,94.2
13652,46,63,1095.08
13654,43,166,2707.33
13655,114,56,932.97
13656,165,49,379.65
13657,11,16,382.14
13658,10,108,2639.17
13659,206,103,1563
13662,86,52,881.26
13663,179,13,189.47
13666,60,12,84.65
13667,149,83,299.05
13668,3,463,6309.83
13669,51,9,218.55
13670,75,25,349.7
13672,301,6,186.39
13673,19,60,387.44
13675,151,25,486.82
13678,152,16,232.6
13680,1,194,3719.12
13681,18,57,827.83
13682,187,3,59.5
13684,286,29,65.13
13685,3,39,3119.44
13686,183,8,72
13689,63,6,910
13690,59,9,172.25
13692,25,53,1488.32
13694,4,568,65039.62
13695,31,90,2504.13
13697,39,12,151.3
13699,155,14,308.58
13700,26,194,2248.63
13703,318,1,99.5
13704,5,134,2308.06
13705,8,28,711.86
13706,303,20,330.79
13707,267,48,806.41
13708,271,49,285.33
13709,4,335,6307.65
13710,32,8,180.48
13711,219,13,252.06
13712,247,10,228.84
13715,281,104,1077.39
13716,269,21,138.28
13717,32,102,1445.01
13718,246,12,306.55
13719,15,60,1041.68
13720,117,43,799.9
13721,36,28,524.14
13722,132,85,2375.41
13723,217,6,199.85
13725,50,104,1980.56
13726,39,42,1079.66
13727,29,20,333.48
13728,37,63,1016.14
13730,136,43,752.6
13731,219,38,610.59
13732,28,33,491.86
13735,25,195,2883.54
13736,5,190,729.8
13737,200,30,339.6
13739,18,3,216.9
13740,241,23,350.75
13741,72,34,668.43
13742,17,313,3107.87
13743,3,41,1341.6
13744,95,63,1080.52
13745,162,25,300.04
13747,374,1,79.6
13748,96,28,948.25
13750,54,24,1647.26
13751,288,9,296.25
13752,124,75,1175.38
13753,288,35,741.26
13754,152,12,282.6
13755,4,321,2108.06
13756,2,142,5189.52
13758,12,117,3190.55
13759,33,25,659.41
13760,54,57,286.79
13761,50,70,1070.65
13762,219,7,306.72
13763,63,15,1714.96
13764,71,207,1519.42
13767,2,368,17220.36
13769,2,135,2796.51
13771,64,119,2634.45
13772,34,173,1122.63
13774,82,22,345
13777,1,197,25977.16
13778,103,9,178.7
13780,7,57,360.01
13781,251,17,127.84
13782,13,113,908.86
13784,10,31,2462.79
13786,367,7,230.4
13787,76,31,309.04
13790,4,45,348.8
13791,128,11,1516
13792,66,13,195.55
13798,1,349,37153.85
13799,117,39,688.86
13800,310,33,558.32
13801,67,23,324.8
13802,139,60,4599.42
13803,255,17,277.07
13804,31,135,2588.39
13805,52,13,924.6
13806,64,10,256.38
13807,367,7,112.6
13808,6,76,1747.66
13809,305,12,155.05
13810,29,35,1499.01
13811,184,13,814.5
13812,42,36,539
13813,40,69,1366.86
13814,92,57,1579.12
13815,22,176,4027.36
13816,24,28,571.67
13817,29,24,382.98
13819,302,36,1140.35
13821,145,59,385.64
13822,6,96,632
13823,19,40,957.66
13824,33,46,1698.94
13826,176,10,189.5
13827,58,92,409.8
13828,22,15,209.49
13831,16,72,2198.45
13832,19,3,52.2
13833,159,28,383.85
13835,25,55,834.57
13837,212,18,266.59
13838,6,165,674.82
13841,253,1,85
13842,59,206,3385.62
13844,11,20,361.62
13845,65,9,312.98
13846,25,55,865.06
13848,92,5,1255
13849,52,101,1537.95
13850,129,93,1595.48
13851,96,81,2651.46
13853,57,23,1090.14
13854,9,110,8109.52
13856,169,14,388.5
13858,57,11,216.17
13859,326,28,201.16
13860,1,76,1245.9
13862,18,139,2209.36
13863,248,20,305.78
13865,58,30,501.56
13866,74,7,145.67
13867,31,60,1005.09
13868,7,33,3192.54
13869,123,304,3083.65
13870,2,115,2770.94
13871,23,336,6403.25
13873,120,23,389.6
13874,358,18,540.45
13875,54,104,1786.79
13876,64,7,122.7
13877,86,3,117.24
13878,55,35,1271.57
13880,21,165,3219.77
13881,4,178,17159.52
13882,3,65,1191.13
13883,11,142,2674.48
13884,7,59,787.6
13885,189,28,506.8
13886,71,16,243.56
13887,204,19,349.55
13888,120,39,595.67
13889,93,15,416.9
13890,1,110,1883.81
13892,27,27,632.97
13893,298,21,821.1
13894,24,27,564.62
13895,28,118,2593.07
13897,50,17,311.16
13898,326,12,155.93
13899,16,19,388.52
13900,183,43,740.95
13901,72,149,2867.2
13904,37,26,332.64
13908,80,122,2369.55
13911,57,148,2580.91
13914,12,33,626.45
13917,50,18,272.04
13918,50,30,1212.84
13919,59,28,384.81
13922,352,7,172.25
13923,54,20,351.13
13924,2,117,1838.85
13925,93,41,678.25
13926,23,11,223.85
13927,75,21,348.99
13928,11,27,464.57
13929,169,9,842.65
13930,58,17,337.34
13931,96,58,1237.53
13932,295,16,307.4
13933,109,23,608.79
13934,264,31,922.1
13936,180,26,376.58
13937,169,9,158.85
13938,35,7,71.66
13939,23,45,568.55
13940,17,49,839.14
13941,22,45,5112.96
13946,79,11,561.57
13947,65,5,90.6
13948,361,3,102
13949,3,160,2427.32
13950,11,35,745.06
13951,176,39,674.45
13952,218,137,3251.071
13953,7,20,3515.68
13954,2,25,439.92
13955,154,33,322.96
13956,5,147,1019.27
13959,79,90,594.04
13960,21,12,230.22
13962,22,11,169.55
13963,308,35,664.54
13967,146,2,80.7
13969,7,619,9024.17
13971,19,149,2758.26
13972,71,15,190.25
13973,287,11,264.7
13974,49,28,413.59
13975,31,329,2461.24
13976,207,10,357.98
13978,15,15,196.79
13979,73,54,869.87
13980,60,11,200.14
13982,39,111,1871.81
13983,30,107,2603.43
13984,27,16,920.51
13985,4,351,7060.13
13986,17,13,320.46
13988,20,234,4147.96
13989,66,41,1266.08
13990,213,16,311.3
13991,12,82,852.88
13992,30,5,76.8
13993,43,121,3466.36
13994,4,148,2274.14
13995,15,86,1393.69
13999,10,208,3901.81
14000,211,15,635.66
14001,46,39,2043.08
14002,134,47,529.73
14004,43,171,4582.64
14005,10,84,2874.72
14006,116,30,962.19
14009,198,42,695.61
14012,278,11,328.8
14013,110,34,473.02
